identifier,srp,srr,srz,replicate,protocol,organism,sample type,cell type,clone_individual,strain,genotype,construct,baseline_control_expt,treatment type,treatment,times,timecourse,library prep,spike in,notes,experimentally not usable,curator 1,curator 2,published,bibtex,author,year,last author,doi,single_paired,rcomp,other data,atac seq,rna seq,chip seq,three d,other seq,sample_id,sample_name,genetic_id,expt_id,raw_read_depth,raw_read_length,trim_read_depth,duplication_picard,single_map,multi_map,map_prop,rseqc_tags,rseqc_cds,cds_rpk,rseqc_five_utr,rseqc_three_utr,rseqc_intron,intron_rpk,exint_ratio,distinct_tenmillion_prop,genome_prop_cov,avg_fold_cov,samp_qc_score,samp_data_score
Jiang2018multi,SRP133625,SRR6789175,SRR6789175,rep1,GRO-seq,H. sapiens,cell line,HCT116,,,,,baseline,no treatment,,,False,ligation,None,,False,Tony,Rutendo,True,,Jiang,2018,Wang,10.1038/s41598-018-24039-1,single,False,True,False,True,False,False,True,2153,SRR6789175,798,598,40918232,51,40577982,0.506731,21174543,17642981,0.9566,35857791,1596131,41.46,13169755,1570971,13913192,10.35,4.005797101449276,0.5343415,0.16168942041961815,1.6912492422902774,2,2
Jiang2018multi,SRP133625,SRR6789176,SRR6789176,rep2,GRO-seq,H. sapiens,cell line,HCT116,,,,,baseline,no treatment,,,False,ligation,None,,False,Tony,Rutendo,True,,Jiang,2018,Wang,10.1038/s41598-018-24039-1,single,False,True,False,True,False,False,True,2154,SRR6789176,798,598,54536719,51,54221183,0.33879,39840963,12223941,0.9601999999999999,46640400,2403714,62.44,8654825,2726810,25635316,19.07,3.274252753015207,0.7610005,0.21792593333060317,1.5416807133764123,1,2
Orioli2016human,SRP064802,SRR2634645,SRR2634645,rep1,other,H. sapiens,cell line,IMR90,,,,,control,treatment,ethynyl uridine(250 microM),"-5,0,hr",False,random primed,None,neusRNA‐seq small tRNA incorporate EU,False,Marko,Chi,True,,Orioli,2016,Hernandez,10.1101/gr.201400.115,single,False,True,False,False,True,False,True,1304,SRR2634645,871,483,72140756,101,42067502,0.936827,4260606,7325772,0.2754,9992546,115137,2.99,3412166,3555460,1989643,1.48,2.0202702702702706,0.05481745,0.007982980114082792,0.5782559501514334,4,5
Orioli2016human,SRP064802,SRR2634646,SRR2634646,rep2,other,H. sapiens,cell line,IMR90,,,,,control,treatment,ethynyl uridine(250 microM),"-5,0,hr",False,random primed,None,neusRNA‐seq small tRNA incorporate EU,False,Marko,Chi,True,,Orioli,2016,Hernandez,10.1101/gr.201400.115,single,False,True,False,False,True,False,True,1305,SRR2634646,871,483,67029081,101,39445283,0.935662,3881170,6911428,0.2736,9348083,118799,3.09,3132307,3414405,1863128,1.39,2.223021582733813,0.0549348,0.0078120793922121425,0.5406095167121465,4,5
Orioli2016human,SRP064802,SRR2634647,SRR2634647,rep3,other,H. sapiens,cell line,IMR90,,,,,control,treatment,ethynyl uridine(250 microM),"-5,0,hr",False,random primed,None,neusRNA‐seq small tRNA incorporate EU,False,Marko,Chi,True,,Orioli,2016,Hernandez,10.1101/gr.201400.115,single,False,True,False,False,True,False,True,1306,SRR2634647,871,483,62096208,101,34801493,0.93833,4672577,6032317,0.30760000000000004,9325229,165689,4.3,3369366,3321637,1621959,1.21,3.553719008264463,0.05111945,0.006488483094003864,0.5546162604015852,4,5
Orioli2016human,SRP064802,SRR2634648,SRR2634648,rep1,other,H. sapiens,cell line,IMR90,,,,,control,vehicle,DMSO,"-5,0,hr",False,random primed,None,neusRNA‐seq small tRNA incorporate EU,False,Marko,Chi,True,,Orioli,2016,Hernandez,10.1101/gr.201400.115,single,False,True,False,False,True,False,True,1307,SRR2634648,871,483,36988578,101,10340012,0.986876,3170907,68545,0.31329999999999997,3230995,573,0.01,46311,19035,28717,0.02,0.5,0.00785423,0.0003658052693259215,0.04486242190272199,5,5
Orioli2016human,SRP064802,SRR2634649,SRR2634649,rep2,other,H. sapiens,cell line,IMR90,,,,,control,vehicle,DMSO,"-5,0,hr",False,random primed,None,neusRNA‐seq small tRNA incorporate EU,False,Marko,Chi,True,,Orioli,2016,Hernandez,10.1101/gr.201400.115,single,False,True,False,False,True,False,True,1308,SRR2634649,871,483,55634193,101,13243539,0.978365,2565473,266951,0.2139,2803116,1738,0.05,203921,53293,55325,0.04,1.25,0.01063577,0.00044059068635934667,0.05683638344107259,5,5
Orioli2016human,SRP064802,SRR2634650,SRR2634650,rep3,other,H. sapiens,cell line,IMR90,,,,,control,vehicle,DMSO,"-5,0,hr",False,random primed,None,neusRNA‐seq small tRNA incorporate EU,False,Marko,Chi,True,,Orioli,2016,Hernandez,10.1101/gr.201400.115,single,False,True,False,False,True,False,True,1309,SRR2634650,871,483,59555104,101,14179298,0.986729,3132458,117793,0.22920000000000001,3236639,807,0.02,84480,24890,36203,0.03,0.6666666666666667,0.00763951,0.00031709114889138775,0.05010710450490575,5,5
Orioli2016human,SRP064802,SRR2634651,SRR2634651,rep1,other,H. sapiens,cell line,IMR90,,,,,experimental,treatment;treatment,ethynyl uridine(250 microM);serum starvation,"-5,0,hr;-5,0,hr",False,random primed,None,neusRNA‐seq small tRNA incorporate EU,False,Marko,Chi,True,,Orioli,2016,Hernandez,10.1101/gr.201400.115,single,False,True,False,False,True,False,True,1310,SRR2634651,871,483,59811232,101,22287260,0.930086,2992391,4769261,0.3483,6788978,83220,2.16,2973582,2011038,1111219,0.83,2.6024096385542173,0.05041389,0.004742369141668175,0.44784743184187825,4,5
Orioli2016human,SRP064802,SRR2634652,SRR2634652,rep2,other,H. sapiens,cell line,IMR90,,,,,experimental,treatment;treatment,ethynyl uridine(250 microM);serum starvation,"-5,0,hr;-5,0,hr",False,random primed,None,neusRNA‐seq small tRNA incorporate EU,False,Marko,Chi,True,,Orioli,2016,Hernandez,10.1101/gr.201400.115,single,False,True,False,False,True,False,True,1311,SRR2634652,871,483,50154995,101,19092101,0.914757,2958167,3858669,0.35710000000000003,5928429,91641,2.38,2233165,1921106,1089571,0.81,2.9382716049382713,0.06110951,0.005975929964373907,0.3687042454168533,4,5
Orioli2016human,SRP064802,SRR2634653,SRR2634653,rep3,other,H. sapiens,cell line,IMR90,,,,,experimental,treatment;treatment,ethynyl uridine(250 microM);serum starvation,"-5,0,hr;-5,0,hr",False,random primed,None,neusRNA‐seq small tRNA incorporate EU,False,Marko,Chi,True,,Orioli,2016,Hernandez,10.1101/gr.201400.115,single,False,True,False,False,True,False,True,1312,SRR2634653,871,483,43244961,101,15757711,0.907768,2566255,3190905,0.3654,5079863,73566,1.91,2033062,1631203,855763,0.64,2.984375,0.0633435,0.005478828511154079,0.31767769309620325,4,5
